Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
SOFTWARE DEVELOPER,ONSEMI,"WATERLOO, ON",,,2023-10-04,2023-10-11
PRINCIPAL IT SOFTWARE ENGINEER,OPEN TEXT CORPORATION,"WATERLOO, ON",90589.0,114706.0,2023-10-04,2023-11-22
SENIOR MOBILE DEVELOPER,SUN LIFE,"WATERLOO, ON",,,2023-10-04,2023-11-08
"MANAGER, SOFTWARE DEVELOPMENT",D2L,"KITCHENER, ON",102763.0,130122.0,2023-10-04,2023-11-08
SENIOR CLOUD ENGINEER,ONTARIO HEALTH,VARIOUS LOCATIONS,92823.0,117535.0,2023-10-04,2023-11-08
SENIOR DEVOPS ENGINEER,ISG SEARCH INC,VARIOUS LOCATIONS,98974.0,125323.0,2023-10-04,2023-10-18
SENIOR INDUSTRIAL SIMULATION DEVELOPER,CLEARPATH INC.,"KITCHENER, ON",87699.0,111046.0,2023-10-04,2023-10-11
BUSINESS DEVELOPMENT MANAGER,MEDA,"WATERLOO, ON",79422.0,100566.0,2023-10-04,2023-11-22
CNC 5TH AXIS MACHINIST/PROGRAMMER,NOVY MANUFACTURING INC.,"WATERLOO, ON",,,2023-10-04,2023-11-15
SOFTWARE ENGINEER – DEVOPS,MAGNET FORENSICS,"WATERLOO, ON",81036.0,102610.0,2023-10-04,2023-10-25
SENIOR PRODUCT SECURITY & CLOUD SECURITY ENGINEER,SIEMENS,"KITCHENER, ON",101415.0,128414.0,2023-10-04,2023-11-22
"SENIOR TEAM LEAD, SOFTWARE DEVELOPMENT",GEOTAB,"WATERLOO, ON",107422.0,136020.0,2023-10-04,2023-11-08
SENIOR CLOUD ENGINEER,SUN LIFE,"WATERLOO, ON",,,2023-10-04,2023-10-11
SR. SOFTWARE DEVELOPER- SHORT-TERM CONTRACT,APPLYBOARD,"KITCHENER, ON",77458.0,98079.0,2023-10-04,2023-11-08
SENIOR TECHNICAL PROGRAM MANAGER,SIEMENS,"KITCHENER, ON",108182.0,136983.0,2023-10-04,2023-10-04
"CHIEF ARCHITECT, CLOUD & CYBERSECURITY","CANON MEDICAL INFORMATICS, INC.","WATERLOO, ON",77166.0,97710.0,2023-10-04,2023-11-15
SR. PRINCIPAL SOFTWARE ARCHITECT,OPENTEXT,"WATERLOO, ON",111782.0,141540.0,2023-10-04,2023-11-01
COMPUTER NUMERICAL CONTROL (CNC) MASTERCAM PROGRAMMER,HJ MACHINE & PATTERN 2016 LTD,"WATERLOO, ON",,,2023-10-04,2023-10-04
SENIOR CONTROLS SYSTEM SOFTWARE DESIGNER,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",71279.0,90255.0,2023-10-04,2023-11-22
SENIOR ASP.NET APPLICATION DEVELOPER,RKD WEB STUDIOS,"GUELPH, ON",72638.0,91976.0,2023-10-04,2023-11-22
"SENIOR .NET FULL STACK DEVELOPER (ONSITE CAMBRIDGE, ON)",VECTORVUE,"KITCHENER, ON",,,2023-10-04,2023-10-25
CNC LATHE MACHINIST/PROGRAMMER,NOVY MANUFACTURING INC.,"WATERLOO, ON",,,2023-10-04,2023-10-25
CONTROLS SYSTEM SOFTWARE DESIGNER- SENIOR,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",73339.0,92863.0,2023-10-04,2023-11-08
ELECTRICAL/CONTROLS DEVELOPER,ISN TECHNOLOGIES,"WATERLOO, ON",75447.0,95532.0,2023-10-04,2023-11-22
SENIOR/INTERMEDIATE UNIX/LINUX DEVELOPER,BICDROID INC.,"WATERLOO, ON",74269.0,94042.0,2023-10-04,2023-11-22
CNC PROGRAMMING SPECIALIST,IN-HOUSE SOLUTIONS,"KITCHENER, ON",75093.0,95084.0,2023-10-04,2023-10-04
SR. SITE RELIABILITY ADMINISTRATOR,OPENTEXT,"WATERLOO, ON",97291.0,123192.0,2023-10-04,2023-11-22
MONITORING TOOLS SPECIALIST (SITESCOPE+),OPENTEXT,"WATERLOO, ON",58861.0,74531.0,2023-10-04,2023-10-11
LEAD EMBEDDED SOFTWARE DEVELOPER,MOLEX,"WATERLOO, ON",102585.0,129896.0,2023-10-04,2023-11-22
LEAD NETWORK ADMINISTRATOR,OPEN TEXT CORPORATION,"WATERLOO, ON",91271.0,115569.0,2023-10-04,2023-10-11
TEMENOS T24 DEVELOPER (REMOTE),HVN SOLUTIONS,"WATERLOO, ON",106539.0,134902.0,2023-10-04,2023-11-22
ASSOCIATE PRODUCT SUPPORT SPECIALIST,OPENTEXT,"WATERLOO, ON",52799.0,66856.0,2023-10-04,2023-11-08
SENIOR TEST AUTOMATION DEVELOPER,LOGISENSE CORPORATION,"KITCHENER, ON",106510.0,134865.0,2023-10-04,2023-11-01
SENIOR DIRECT3D SOFTWARE DEVELOPER,ALLUDO,"WATERLOO, ON",109785.0,139013.0,2023-10-04,2023-11-22
PRINCIPAL SOFTWARE DEVELOPER,OPEN TEXT CORPORATION,"WATERLOO, ON",84110.0,106502.0,2023-10-04,2023-10-11
SENIOR SOFTWARE DEVELOPER,EUNA SOLUTIONS,"KITCHENER, ON",100683.0,127487.0,2023-10-04,2023-10-11
PRINCIPAL SOFTWARE DEVELOPER,OPENTEXT,"WATERLOO, ON",84110.0,106502.0,2023-10-04,2023-10-11
"EDUCATIONAL DEVELOPER, INDIGENOUS KNOWLEDGES",UNIVERSITY OF WATERLOO,"WATERLOO, ON",70507.0,89278.0,2023-10-04,2023-11-01
SENIOR SOFTWARE ENGINEER – PLATFORM,MAGNET FORENSICS,"WATERLOO, ON",102176.0,129378.0,2023-10-04,2023-10-04
PRINCIPAL IT SOFTWARE ENGINEER,OPENTEXT,"WATERLOO, ON",90589.0,114706.0,2023-10-04,2023-11-22
CONTROL SYSTEMS SOFTWARE DESIGNER,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",62955.0,79715.0,2023-10-04,2023-11-08
